tweet,created_at,tokens
kang dedi mulyadi lapak ngegombalin cokiber silah,Tue May 20 16:10:28 +0000 2025,"['kang', 'dedi', 'mulyadi', 'lapak', 'ngegombalin', 'cokiber', 'silah']"
bandung gubernur jawa barat dedi mulyadi mantik kontroversi publik luncur program didik karakter latih barak militer anak kategori nakal program dukung anggar rp miliar apbd,Sun May 18 03:41:25 +0000 2025,"['bandung', 'gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'mantik', 'kontroversi', 'publik', 'luncur', 'program', 'didik', 'karakter', 'latih', 'barak', 'militer', 'anak', 'kategori', 'nakal', 'program', 'dukung', 'anggar', 'rp', 'miliar', 'apbd']"
membandingbandingkan mas pram kang dedi mulyadi turut mas pram tipikal gaya pake citra pake drama nangisnangis marahmarah tahutahu janji kampanye wujud,Thu May 22 01:14:59 +0000 2025,"['membandingbandingkan', 'mas', 'pram', 'kang', 'dedi', 'mulyadi', 'turut', 'mas', 'pram', 'tipikal', 'gaya', 'pake', 'citra', 'pake', 'drama', 'nangisnangis', 'marahmarah', 'tahutahu', 'janji', 'kampanye', 'wujud']"
kang dedi mulyadi nyuruh vasektomi solusi nyata sdm rendah cok visioner,Mon May 12 15:07:03 +0000 2025,"['kang', 'dedi', 'mulyadi', 'nyuruh', 'vasektomi', 'solusi', 'nyata', 'sdm', 'rendah', 'cok', 'visioner']"
orang nyamain kang dedi mulyadi jokowi banyak dukung anies twitter paham manuver politik indonesia banyak kaget tipu tipu jokowi tipu justice for audrey tipu bjorka tipu sverre,Sat May 03 06:31:01 +0000 2025,"['orang', 'nyamain', 'kang', 'dedi', 'mulyadi', 'jokowi', 'banyak', 'dukung', 'anies', 'twitter', 'paham', 'manuver', 'politik', 'indonesia', 'banyak', 'kaget', 'tipu', 'tipu', 'jokowi', 'tipu', 'justice', 'for', 'audrey', 'tipu', 'bjorka', 'tipu', 'sverre']"
kang dedi mulyadi kerja hasil tara periode,Mon May 19 11:12:03 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kerja', 'hasil', 'tara', 'periode']"
kang dedi mulyadi jatuh cinta filmfilm,Mon May 12 12:44:18 +0000 2025,"['kang', 'dedi', 'mulyadi', 'jatuh', 'cinta', 'filmfilm']"
mas agus mulyadi visioner ya dipake mulu rumus,Thu Feb 01 06:31:12 +0000 2024,"['mas', 'agus', 'mulyadi', 'visioner', 'ya', 'dipake', 'mulu', 'rumus']"
wts part buku koleksi pribadi mostly kuning pinggir layak baca,Wed May 21 07:56:57 +0000 2025,"['wts', 'part', 'buku', 'koleksi', 'pribadi', 'mostly', 'kuning', 'pinggir', 'layak', 'baca']"
kang dedi mulyadi kim seonho ganteng bangeettt,Thu May 15 09:48:39 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kim', 'seonho', 'ganteng', 'bangeettt']"
tastefully yours yeorobun samping go minsi mo yeonju yoo yeonseok kang dedi mulyadi,Wed May 21 04:28:08 +0000 2025,"['tastefully', 'yours', 'yeorobun', 'samping', 'go', 'minsi', 'mo', 'yeonju', 'yoo', 'yeonseok', 'kang', 'dedi', 'mulyadi']"
dedi mulyadi tuh jabat sih lingkung kelar anak nakal sadar eh hukum khatam,Sat May 17 05:45:07 +0000 2025,"['dedi', 'mulyadi', 'tuh', 'jabat', 'sih', 'lingkung', 'kelar', 'anak', 'nakal', 'sadar', 'eh', 'hukum', 'khatam']"
kang dedi mulyadi park jinyoung villain era,Fri May 16 10:01:50 +0000 2025,"['kang', 'dedi', 'mulyadi', 'park', 'jinyoung', 'villain', 'era']"
kang dedi mulyadi suami greenflag tale of lady ok murid turut trauma code choo youngwoo mode villain series ori netflix mercy for none tayang juni lihat oasis tau gimana ngeselinnya pas villain,Thu May 15 01:45:34 +0000 2025,"['kang', 'dedi', 'mulyadi', 'suami', 'greenflag', 'tale', 'of', 'lady', 'ok', 'murid', 'turut', 'trauma', 'code', 'choo', 'youngwoo', 'mode', 'villain', 'series', 'ori', 'netflix', 'mercy', 'for', 'none', 'tayang', 'juni', 'lihat', 'oasis', 'tau', 'gimana', 'ngeselinnya', 'pas', 'villain']"
kang dedi mandi nih kang bawa barak kang mandi kang,Mon May 19 12:02:20 +0000 2025,"['kang', 'dedi', 'mandi', 'nih', 'kang', 'bawa', 'barak', 'kang', 'mandi', 'kang']"
